Device Category,In-Market Segment,Affinity Category (reach),Day of Week,Source / Medium,Avg. % Conversion Probability,Avg. Session Duration,New Users,Sessions,Avg. Order Value,Avg. QTY
desktop,Gifts & Occasions/Gift Baskets,Shoppers/Value Shoppers,1,mall.googleplex.com / referral,15.9,0:03:36,4,10,$70.67,13
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,15.9,0:04:51,2,11,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,0,mall.googleplex.com / referral,15.8,0:02:15,4,12,$62.29,5.5
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Coffee Shop Regulars,0,mall.googleplex.com / referral,15.8,0:05:40,4,16,$56.44,3
desktop,Business Services/Advertising & Marketing Services,Vehicles & Transportation/Auto Enthusiasts,1,mall.googleplex.com / referral,15.7,0:04:11,4,18,$69.57,1
desktop,Apparel & Accessories/Women's Apparel,Lifestyles & Hobbies/Business Professionals,1,mall.googleplex.com / referral,15.6,0:05:26,10,22,$212.14,8.58
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Banking & Finance/Avid Investors,1,mall.googleplex.com / referral,15.5,0:02:45,6,13,$0.00,0
desktop,Home & Garden/Home Furnishings,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,1,(direct) / (none),15.5,0:02:26,6,13,$0.00,0
desktop,Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),Lifestyles & Hobbies/Shutterbugs,1,(direct) / (none),15.5,0:02:27,9,15,$0.00,0
desktop,Consumer Electronics/Mobile Phones,Lifestyles & Hobbies/Outdoor Enthusiasts,1,mall.googleplex.com / referral,15.4,0:04:25,2,15,$0.00,0
desktop,Home & Garden/Home Furnishings,Lifestyles & Hobbies/Outdoor Enthusiasts,1,mall.googleplex.com / referral,15.4,0:03:15,5,14,$71.85,15
desktop,Travel/Air Travel,Lifestyles & Hobbies/Frequently Attends Live Events,1,mall.googleplex.com / referral,15.4,0:06:49,5,26,$72.46,5.4
desktop,Software/Business & Productivity Software,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,15.4,0:05:41,7,20,$39.18,3
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Sports & Fitness/Health & Fitness Buffs,1,mall.googleplex.com / referral,15.4,0:04:45,5,16,$0.00,0
desktop,Home & Garden/Home Furnishings,Banking & Finance/Avid Investors,1,(direct) / (none),15.4,0:02:23,6,13,$0.00,0
desktop,Consumer Electronics/Mobile Phones,Sports & Fitness/Health & Fitness Buffs,1,mall.googleplex.com / referral,15.3,0:05:17,4,23,$0.00,0
desktop,Travel/Hotels & Accommodations,Shoppers/Value Shoppers,0,sites.google.com / referral,15.3,0:06:33,5,13,$0.00,0
desktop,Real Estate/Residential Properties/Residential Properties (For Sale),Lifestyles & Hobbies/Fashionistas,1,mall.googleplex.com / referral,15.3,0:09:36,5,10,$78.48,1.33
desktop,Employment/Sales & Marketing Jobs,Sports & Fitness/Sports Fans,1,mall.googleplex.com / referral,15.3,0:06:41,4,12,$183.88,1.71
desktop,Apparel & Accessories/Women's Apparel,Beauty & Wellness/Beauty Mavens,1,mall.googleplex.com / referral,15.3,0:03:38,5,14,$71.85,15
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Shoppers/Value Shoppers,1,mall.googleplex.com / referral,15.3,0:04:44,5,16,$0.00,0
desktop,Financial Services/Investment Services,Beauty & Wellness/Frequently Visits Salons,0,mall.googleplex.com / referral,15.2,0:02:00,5,14,$45.57,1.2
desktop,Real Estate/Residential Properties,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,15.2,0:03:32,8,18,$0.00,0
desktop,Telecom/Mobile Phone Service Providers,Shoppers/Luxury Shoppers,1,mall.googleplex.com / referral,15.2,0:07:50,4,15,$81.58,1
desktop,Business Services/Advertising & Marketing Services,Shoppers/Value Shoppers,0,sites.google.com / referral,15.2,0:05:26,4,10,$0.00,0
desktop,Apparel & Accessories/Women's Apparel,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,15.2,0:04:40,8,16,$212.14,8.58
desktop,Business Services/Advertising & Marketing Services,Sports & Fitness/Health & Fitness Buffs,0,mall.googleplex.com / referral,15.2,0:05:01,4,17,$62.29,5.5
desktop,Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),Vehicles & Transportation/Auto Enthusiasts,1,(direct) / (none),15.2,0:02:59,10,16,$0.00,0
desktop,Home & Garden/Home Decor,Travel/Travel Buffs,1,mall.googleplex.com / referral,15.1,0:04:06,9,21,$71.85,15
desktop,Travel/Hotels & Accommodations,Travel/Travel Buffs/Luxury Travelers,1,mall.googleplex.com / referral,15.1,0:04:54,6,16,$41.59,1
desktop,Real Estate/Residential Properties,Shoppers/Luxury Shoppers,1,mall.googleplex.com / referral,15.1,0:05:40,7,16,$0.00,0
desktop,Apparel & Accessories/Women's Apparel,Lifestyles & Hobbies/Outdoor Enthusiasts,1,mall.googleplex.com / referral,15.1,0:06:45,5,13,$311.55,22.5
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Travel/Travel Buffs,1,mall.googleplex.com / referral,15,0:04:45,5,15,$0.00,0
desktop,Home & Garden/Home & Garden Services,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,15,0:02:41,5,12,$0.00,0
desktop,Consumer Electronics/Mobile Phones,Lifestyles & Hobbies/Shutterbugs,1,sites.google.com / referral,15,0:02:25,7,13,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Shoppers/Luxury Shoppers,1,sites.google.com / referral,15,0:03:36,5,14,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Shoppers/Value Shoppers,1,sites.google.com / referral,15,0:03:36,5,14,$0.00,0
desktop,Real Estate/Residential Properties/Residential Properties (For Sale),Food & Dining/Foodies,1,mall.googleplex.com / referral,14.9,0:06:21,6,11,$83.16,1
desktop,Apparel & Accessories/Women's Apparel,Shoppers/Luxury Shoppers,1,mall.googleplex.com / referral,14.9,0:03:22,8,18,$99.11,3.11
desktop,Business Services/Advertising & Marketing Services,Shoppers/Value Shoppers,0,mall.googleplex.com / referral,14.9,0:05:34,5,19,$56.44,3
desktop,Telecom/Mobile Phone Service Providers,Sports & Fitness/Health & Fitness Buffs,1,mall.googleplex.com / referral,14.8,0:06:57,5,17,$81.58,1
desktop,Apparel & Accessories/Women's Apparel,Shoppers/Shopaholics,1,mall.googleplex.com / referral,14.8,0:04:16,7,14,$99.11,3.11
desktop,Real Estate/Residential Properties,Lifestyles & Hobbies/Fashionistas,1,mall.googleplex.com / referral,14.8,0:05:22,7,15,$0.00,0
desktop,Real Estate/Residential Properties/Residential Properties (For Sale),Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,14.7,0:03:53,6,11,$83.16,1
desktop,Home & Garden/Home Decor,Lifestyles & Hobbies/Outdoor Enthusiasts,1,mall.googleplex.com / referral,14.7,0:03:42,5,12,$71.85,15
desktop,Business Services/Advertising & Marketing Services,Sports & Fitness/Sports Fans,1,mall.googleplex.com / referral,14.7,0:05:15,10,30,$92.70,3.42
desktop,Home & Garden/Home Furnishings,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,1,mall.googleplex.com / referral,14.7,0:06:09,4,16,$437.14,18.6
desktop,Business Services/Advertising & Marketing Services,News & Politics/Avid News Readers/Avid Business News Readers,1,mall.googleplex.com / referral,14.7,0:04:13,6,22,$325.33,6.75
desktop,Travel/Hotels & Accommodations,Sports & Fitness/Sports Fans/American Football Fans,1,mall.googleplex.com / referral,14.6,0:04:29,6,16,$46.78,1
desktop,Home & Garden/Home Decor,Lifestyles & Hobbies/Family-Focused,1,mall.googleplex.com / referral,14.6,0:04:50,6,12,$71.85,15
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Travel/Business Travelers,1,mall.googleplex.com / referral,14.6,0:05:48,4,12,$0.00,0
desktop,Travel/Hotels & Accommodations,Media & Entertainment/Book Lovers,1,mall.googleplex.com / referral,14.6,0:03:07,16,34,$199.88,10.67
desktop,Apparel & Accessories/Women's Apparel,Banking & Finance/Avid Investors,1,mall.googleplex.com / referral,14.6,0:04:35,7,12,$268.99,9.27
desktop,Travel/Vacation Packages,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,14.5,0:07:35,4,12,$19.19,1
desktop,Apparel & Accessories/Women's Apparel,Travel/Travel Buffs,1,mall.googleplex.com / referral,14.5,0:05:34,11,22,$212.14,8.58
desktop,Travel/Air Travel,News & Politics/Avid News Readers/Entertainment News Enthusiasts,1,mall.googleplex.com / referral,14.5,0:04:06,4,13,$46.15,3.8
desktop,Travel/Air Travel,Home & Garden/Home Decor Enthusiasts,1,mall.googleplex.com / referral,14.5,0:05:09,7,19,$98.14,7.29
desktop,Telecom/Mobile Phone Service Providers,Travel/Business Travelers,1,mall.googleplex.com / referral,14.5,0:07:23,5,16,$81.58,1
desktop,Home & Garden/Home Furnishings,Lifestyles & Hobbies/Art & Theater Aficionados,1,mall.googleplex.com / referral,14.5,0:03:50,6,20,$315.37,18
desktop,Financial Services/Investment Services,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,0,mall.googleplex.com / referral,14.5,0:01:52,6,15,$45.57,1.2
desktop,Business Services/Advertising & Marketing Services,Lifestyles & Hobbies/Frequently Attends Live Events,0,mall.googleplex.com / referral,14.5,0:03:48,4,12,$62.29,5.5
desktop,Travel/Vacation Packages,Lifestyles & Hobbies/Business Professionals,1,mall.googleplex.com / referral,14.4,0:07:28,4,12,$19.19,1
desktop,Business Services/Advertising & Marketing Services,Technology/Technophiles,1,mall.googleplex.com / referral,14.4,0:04:50,13,53,$193.82,6.47
desktop,Apparel & Accessories/Women's Apparel,Technology/Technophiles,1,mall.googleplex.com / referral,14.4,0:03:14,7,14,$112.74,1.62
desktop,Business Services/Business Technology/Web Services/Web Design & Development,Media & Entertainment/Gamers,1,mall.googleplex.com / referral,14.4,0:01:05,4,16,$0.00,0
desktop,Apparel & Accessories/Women's Apparel,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,1,mall.googleplex.com / referral,14.4,0:03:24,7,13,$112.74,1.62
desktop,Telecom/Mobile Phone Service Providers,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,1,mall.googleplex.com / referral,14.3,0:06:28,4,14,$81.58,1
desktop,Apparel & Accessories/Women's Apparel,Home & Garden/Home Decor Enthusiasts,1,mall.googleplex.com / referral,14.3,0:03:10,8,19,$71.85,15
desktop,Apparel & Accessories/Women's Apparel,Shoppers/Shoppers by Store Type/Department Store Shoppers,1,mall.googleplex.com / referral,14.3,0:03:47,9,15,$127.86,3.38
desktop,Business Services/Advertising & Marketing Services,Lifestyles & Hobbies/Business Professionals,0,mall.googleplex.com / referral,14.3,0:04:35,5,17,$62.29,5.5
desktop,Business Services/Advertising & Marketing Services,Sports & Fitness/Sports Fans,0,mall.googleplex.com / referral,14.3,0:04:10,4,11,$62.29,5.5
desktop,Home & Garden/Home Decor,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,14.3,0:04:48,7,17,$71.85,15
desktop,Apparel & Accessories/Women's Apparel,Travel/Business Travelers,1,mall.googleplex.com / referral,14.3,0:04:55,8,15,$212.14,8.58
desktop,Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),Shoppers/Luxury Shoppers,1,(direct) / (none),14.3,0:00:49,10,16,$0.00,0
desktop,Travel/Air Travel,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,14.3,0:06:56,8,31,$46.15,3.8
desktop,Travel/Hotels & Accommodations/Vacation Rentals,News & Politics/Avid News Readers,1,mall.googleplex.com / referral,14.2,0:04:56,3,11,$0.00,0
desktop,Home & Garden/Home Furnishings,Lifestyles & Hobbies/Frequently Attends Live Events,1,mall.googleplex.com / referral,14.2,0:03:52,4,14,$315.37,18
desktop,Home & Garden/Home Decor,Food & Dining/Cooking Enthusiasts/Aspiring Chefs,1,mall.googleplex.com / referral,14.2,0:03:38,5,13,$0.00,0
desktop,Employment/Sales & Marketing Jobs,Banking & Finance/Avid Investors,1,mall.googleplex.com / referral,14.2,0:06:53,5,18,$132.73,1.56
desktop,Travel/Trips by Destination/Trips to North America/Trips to the US,Travel/Travel Buffs,1,mall.googleplex.com / referral,14.2,0:02:44,7,13,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Media & Entertainment/Movie Lovers,0,mall.googleplex.com / referral,14.2,0:05:03,6,19,$56.44,3
desktop,Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,1,mall.googleplex.com / referral,14.2,0:07:08,5,12,$82.37,1
desktop,Business Services/Advertising & Marketing Services,Shoppers/Luxury Shoppers,1,mall.googleplex.com / referral,14.2,0:04:22,13,45,$92.70,3.42
desktop,Apparel & Accessories/Women's Apparel,Lifestyles & Hobbies/Pet Lovers,1,mall.googleplex.com / referral,14.1,0:02:14,5,14,$0.00,0
desktop,Financial Services/Investment Services,Media & Entertainment/Gamers,1,mall.googleplex.com / referral,14.1,0:02:13,5,17,$51.98,1
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Media & Entertainment/Movie Lovers,1,mall.googleplex.com / referral,14.1,0:04:18,5,13,$0.00,0
desktop,Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),Home & Garden/Do-It-Yourselfers,1,(direct) / (none),14.1,0:01:42,9,13,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,1,mall.googleplex.com / referral,14.1,0:05:14,11,44,$268.94,8.15
desktop,Employment/IT & Technical Jobs,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,14.1,0:04:11,3,17,$28.38,2.6
desktop,Computers & Peripherals/Computer Accessories & Components,Sports & Fitness/Health & Fitness Buffs,1,mall.googleplex.com / referral,14.1,0:02:56,7,12,$19.19,1
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,0,mall.googleplex.com / referral,14.1,0:03:21,6,15,$62.29,5.5
desktop,Home & Garden/Home Furnishings,News & Politics/Avid News Readers/Avid Political News Readers,1,(direct) / (none),14,0:01:47,6,12,$0.00,0
desktop,Employment/Career Consulting Services,Vehicles & Transportation/Auto Enthusiasts,1,mall.googleplex.com / referral,14,0:05:59,5,14,$59.45,2.33
desktop,Business Services/Advertising & Marketing Services,Lifestyles & Hobbies/Art & Theater Aficionados,1,mall.googleplex.com / referral,14,0:03:53,10,47,$297.29,15.67
desktop,Real Estate/Residential Properties,Technology/Technophiles,1,mall.googleplex.com / referral,14,0:05:29,8,17,$0.00,0
desktop,Financial Services/Investment Services,Technology/Mobile Enthusiasts,0,mall.googleplex.com / referral,14,0:02:16,5,13,$20.78,2
desktop,Business Services/Advertising & Marketing Services,Beauty & Wellness/Beauty Mavens,1,mall.googleplex.com / referral,14,0:03:44,1,14,$437.14,18.6
desktop,Real Estate/Residential Properties,Lifestyles & Hobbies/Business Professionals,1,mall.googleplex.com / referral,13.9,0:04:39,11,21,$0.00,0
desktop,Employment/Sales & Marketing Jobs,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,13.9,0:07:42,4,15,$132.73,1.56
